station_name,latitude,longitude
1 Market St - SMART,,
111 Bond St (North of Dundas St E)  - SMART,,
12 Harbour St,43.6428813,-79.3757135
128 Sterling Ave - SMART,,
1303 Yonge St - SMART,,
135 Queens Wharf  - SMART,,
1525 Dundas St,43.3584107,-79.8619899
161 Bleecker St (South of Wellesley),,
190 Queens Quay E,43.6451551,-79.3655184
20 Charles St E,43.6689694,-79.3849338
200 Bloor St. E.,43.6725675,-79.3823807
25 Booth Ave,43.654713,-79.3411539
25 York St  Union Station South,,
25 York St â Union Station South,,
285 Victoria St,43.656891,-79.3794781
324 Cherry St,43.6503092,-79.3569126
406 Oakwood Ave,43.6882606,-79.4393353
424 Wellington St W,43.6440537,-79.3966852
439 Sherbourne St,43.6661334,-79.3736615
457 King St. W. at Spadina,,
51 Parliament St,43.6519742,-79.3619474
519 Church St - SMART,,
541 Huron St - SMART,,
555 Bloor St East,43.6728118,-79.3695531
640 Bloor Street E,43.6741798,-79.3678587
80 Clinton St (North of College),,
909 Yonge St,43.6749514,-79.3885276
Adelaide St W / Brant St,,
Adelaide St W / Strachan Ave,,
Alameda Ave / Vaughan Rd - SMART,,
Alma Ave / Gladstone Ave SMART,,
Alton Ave / Dundas St E (Greenwood Park),,
Alvin Ave / St Clair Ave E,43.6887072,-79.3926561
Amelia St. / Sumach St.,,
Amos Waites Park,43.613355,-79.4879937
Amroth Ave / Danforth Ave,43.6851299,-79.3118909
Annette St / Dundas W,43.6642986,-79.458869
Annette St / Jane St,43.6585495,-79.4871898
Antler St / Campbell Ave - SMART,,
Augusta Ave / Denison Sq,,
Augusta Ave / Dundas St W,,
Baldwin Ave / Spadina Ave - SMART,,
Baldwin St / Henry St,,
Balliol St / Yonge St  SMART,43.6978569,-79.3943799
Bartlett Parkette,43.670349,-79.4362994
Barton St / Howland St - SMART,,
Bathurst St / Adelaide St W,,
Bathurst St / Dundas St W,43.6521688,-79.4063406
Bathurst St / Fort York Blvd,43.639157,-79.3996475
Bathurst St / Lennox St,43.6639258,-79.4107376
Bathurst St/Queens Quay(Billy Bishop Airport),,
