station_name,latitude,longitude
1 Market St - SMART,43.646929786806,-79.3709980052162
111 Bond St (North of Dundas St E)  - SMART,43.6572633244787,-79.3784695602031
12 Harbour St,43.6428813,-79.3757135
128 Sterling Ave - SMART,43.6539448487832,-79.4450154025322
1303 Yonge St - SMART,43.6848836594691,-79.3923925025309
135 Queens Wharf  - SMART,43.6511536325749,-79.3851577289438
1525 Dundas St,43.6495688316393,-79.4324530936431
161 Bleecker St (South of Wellesley),43.6666811549701,-79.3731550006831
190 Queens Quay E,43.6451551,-79.3655184
20 Charles St E,43.6689694,-79.3849338
200 Bloor St. E.,43.6725675,-79.3823807
25 Booth Ave,43.654713,-79.3411539
25 York St  Union Station South,43.6436950961274,-79.3810035178747
285 Victoria St,43.656891,-79.3794781
324 Cherry St,43.6503092,-79.3569126
406 Oakwood Ave,43.6882606,-79.4393353
424 Wellington St W,43.6440537,-79.3966852
439 Sherbourne St,43.6661334,-79.3736615
457 King St. W. at Spadina,43.6450793704172,-79.3961006244121
51 Parliament St,43.6519742,-79.3619474
519 Church St - SMART,43.6646001333883,-79.3806990467771
541 Huron St - SMART,43.6712537258785,-79.4022355448605
555 Bloor St East,43.6728118,-79.3695531
640 Bloor Street E,43.6741798,-79.3678587
80 Clinton St (North of College),43.6563952537432,-79.4144934602031
909 Yonge St,43.6749514,-79.3885276
Adelaide St W / Brant St,43.6464039324696,-79.3981277025325
Adelaide St W / Strachan Ave,43.6435382688261,-79.4124697178004
Alameda Ave / Vaughan Rd - SMART,43.6910182753954,-79.4374761
Alma Ave / Gladstone Ave SMART,43.645082808959,-79.428022273697
Alton Ave / Dundas St E (Greenwood Park),43.6675998466659,-79.3293116141764
Alvin Ave / St Clair Ave E,43.6887072,-79.3926561
Amelia St. / Sumach St.,43.6686254843741,-79.363616316025
Amos Waites Park,43.613355,-79.4879937
Amroth Ave / Danforth Ave,43.6851299,-79.3118909
Annette St / Dundas W,43.6642986,-79.458869
Annette St / Jane St,43.6585495,-79.4871898
Antler St / Campbell Ave - SMART,43.6643427179054,-79.4493206178739
Augusta Ave / Denison Sq,43.6540735347871,-79.4018041467098
Augusta Ave / Dundas St W,43.6524151635183,-79.4010729160257
Baldwin Ave / Spadina Ave - SMART,43.6550953442059,-79.3986878160256
Baldwin St / Henry St,43.6561828411132,-79.3934396736967
Balliol St / Yonge St  SMART,43.6978569,-79.3943799
Bartlett Parkette,43.670349,-79.4362994
Barton St / Howland St - SMART,43.6685886997248,-79.4098414126466
Bathurst St / Adelaide St W,43.6449804455062,-79.4030549025326
Bathurst St / Dundas St W,43.6521688,-79.4063406
Bathurst St / Fort York Blvd,43.639157,-79.3996475
Bathurst St / Lennox St,43.6639258,-79.4107376
Bathurst St/Queens Quay(Billy Bishop Airport),43.6358391240589,-79.3984495387512
Bathurst Subway Station,43.6666871,-79.4116449
Bay St / Albert St,43.6531094618133,-79.3826437313678
Bay St / Bloor St W (East Side),43.6696891958667,-79.3892551832582
Bay St / Bloor St W (West Side),43.669692114553,-79.3900258786759
Bay St / Charles St - SMART,43.6680957892602,-79.3886873996438
Bay St / College St (East Side),43.6606978316688,-79.3856703516634
Bay St / College St (West Side) - SMART,43.6609335495427,-79.3859984919365
Bay St / Queens Quay W (Ferry Terminal),43.6413960992217,-79.3768730905225
Bay St / Scollard St,43.6719976,-79.3902757
Bay St / St. Joseph St,43.6658541967127,-79.3876680736962
Bay St / Wellesley St W,43.6637002,-79.3870773
Bayview Ave / Lawren Harris Square,43.6547794728814,-79.3537015859754
Beaty Ave / Queen St W,43.6395429,-79.441058
Bellwoods Ave / Treford Pl - SMART,43.6526221512392,-79.4133976736967
Beltline Trail / Chaplin Cres.,43.7045705083875,-79.4231132106435
Berkeley St / Adelaide St E - SMART,43.6531326617562,-79.3647637313678
Berkeley St / Dundas St E - SMART,43.6592577229468,-79.367351002532
